trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_00301,,,,9,15.525444,4.388596,7.127104,2.738509,2.738509,,0.189678,0.449242,38.794064,34.155978,31.569813,1.081919,0,0.0,0.0,0,2.613462,0.59375,0.0,135.0,45.0,96.23172,3d66025e457b7c96cef15b4bb0742174ef7d1544,edcdb4b2da5517cb014d7138439dd07451b81cbb
scene_1_1_true_gain2_no_backtrack_balanced_00302,,,,10,15.63543,3.987197,7.127104,3.139907,3.139907,,0.171745,0.449242,39.683729,34.295251,31.960679,1.073045,0,0.0,0.0,0,1.59682,0.590909,0.0,195.0,45.0,96.23172,99a1d643be471280be09fb73549323b240dab1dd,8c7d51f27b82acf9a20382fac086e47b2919abd7
scene_1_1_true_gain2_no_backtrack_balanced_00303,,,,8,9.564703,4.712274,7.127104,2.414831,2.414831,,0.171745,0.449242,26.319405,20.939652,16.56124,1.264377,0,0.0,0.0,0,1.59682,0.56,0.0,135.0,45.0,96.23172,67653dc7495be1f50581de6e83979d99b93add17,76848d378471d07918e1d2d4b4417757259dcf47
scene_1_1_true_gain2_no_backtrack_balanced_00304,,,,8,9.451316,4.815427,7.127104,2.311677,2.311677,,0.171745,0.449242,25.467199,20.690202,17.294699,1.196332,0,0.0,0.0,0,2.613462,0.557692,0.0,135.0,0.0,96.23172,448fcf6d5c75057c609d4ee280fecb9c8d546768,3c0c80a14e52aefd3c803ad3d9899bd3203f5886
scene_1_1_true_gain2_no_backtrack_balanced_00305,,,,9,13.488005,4.183403,7.127104,2.943701,2.943701,,0.171745,0.449242,36.016541,29.570917,25.930922,1.140373,0,0.0,0.0,0,1.59682,0.590909,0.0,255.0,45.0,96.23172,154a978565fa5f3b90c64ff19819be6b40f50a2f,4b943e53bee3307c025de75d4cc53b4633197680
scene_1_1_true_gain2_no_backtrack_balanced_00306,,,,8,12.997982,4.699301,7.127104,2.427804,2.427804,,0.171745,0.449242,33.094256,28.492866,25.961516,1.097504,0,0.0,0.0,0,2.613462,0.5625,0.0,135.0,45.0,96.23172,85909d98c1cd1f65e3f1aa7609bee8075d867f9f,ac32272fe198595fe627be70cdbf71a2eac8abe7
scene_1_1_true_gain2_no_backtrack_balanced_00307,,,,8,9.106813,4.899617,7.127104,2.227487,2.227487,,0.098701,0.449242,23.831613,20.034989,16.56124,1.209752,0,0.0,0.0,0,1.716606,0.567568,0.0,45.0,0.0,99.570974,e586a5f52cb3a2276e40943d2531cd920ba49dd1,804a602ef1ed3e065ed2ecc922d7d7d9ff612dec
scene_1_1_true_gain2_no_backtrack_balanced_00308,,,,8,8.2995,5.101324,7.127104,2.02578,2.02578,,0.054991,0.449242,21.497738,17.924642,15.569384,1.151275,0,0.0,0.0,0,1.716515,0.585366,0.0,90.0,0.0,99.570974,f5e635ede1f3731f78f7423905eb731cce473283,f68f9cf62111e7d6838e4ede5aead314f376bbf7
scene_1_1_true_gain2_no_backtrack_balanced_00309,,,,9,11.69877,4.271161,7.127104,2.855943,2.855943,,0.171745,0.449242,31.219013,25.6346,21.029772,1.218967,0,0.0,0.0,0,1.59682,0.596491,0.0,105.0,45.0,96.23172,7c18c89886c6674ee01c8026fc0fb03559b3e167,83e269862490f71b451dff191a96850961d0b26a
scene_1_1_true_gain2_no_backtrack_balanced_00310,,,,8,17.573765,4.862735,7.127104,2.264369,2.264369,,0.165713,0.413059,42.005825,38.662282,36.229766,1.067141,0,0.0,0.0,0,7.761082,0.559524,0.0,195.0,45.0,23.732586,1de0381da283dfe123e69768b477ee03376cdb4a,c381fc996b148d3b0739c5f4cc191eb513f9fb8e
