trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_02513,,,,9,12.010108,4.185858,7.127104,2.941247,2.941247,,0.30408,0.449242,29.445156,21.914738,16.705926,1.311794,1,0.213964,0.213964,0,1.716606,,,195.0,45.0,99.570974,759849abd5e03e7a9548ed8720a536493b305665,ebb36bb39471b90781f31c5fd0228e4ae462ab0b
scene_1_1_true_gain2_no_backtrack_balanced_02514,,,,9,11.930654,4.297163,7.127104,2.829941,2.829941,,0.098701,0.449242,31.872882,25.913181,22.054249,1.174975,0,0.0,0.0,0,1.716515,,,165.0,45.0,99.570974,d580074c657511de9f2f9c34fc2cc7475a6163b7,e01be97c71fc038219d697a0653a87748b3f4e91
scene_1_1_true_gain2_no_backtrack_balanced_02515,,,,8,17.636968,4.818903,7.127104,2.308201,2.308201,,0.115945,0.405322,42.278209,38.801329,36.42487,1.065243,0,0.0,0.0,0,10.345,,,195.0,45.0,31.369447,c94f6d253587b45d303e24f5e3a0c0a945011d60,c06944157c82e60b1342cfc1c441404f29e37532
scene_1_1_true_gain2_no_backtrack_balanced_02516,,,,9,15.456494,4.248082,7.127104,2.879023,2.879023,,0.189678,0.449242,39.803018,34.004288,31.544659,1.077973,0,0.0,0.0,0,2.613462,,,255.0,45.0,96.23172,e2d2ee8ebdb80b6bf4e5b94cf3b38cc8a90a5540,95e668c3fcfac47831a12524114055517ee40b29
scene_1_1_true_gain2_no_backtrack_balanced_02517,,,,10,11.209227,3.975504,7.127104,3.1516,3.1516,,0.171745,0.449242,30.131076,22.517605,16.562004,1.359594,1,0.148765,0.148765,0,1.59682,,,165.0,45.0,96.23172,9212bf2e97a460dab14dee25ec6bb17effc72214,7002e811fc9ef8b5dacf1d55760e77a0c0e00346
scene_1_1_true_gain2_no_backtrack_balanced_02518,,,,10,13.145456,3.949629,7.127104,3.177475,3.177475,,0.171745,0.449242,34.149271,28.817308,21.44692,1.343657,1,0.038941,0.038941,0,2.613462,,,105.0,45.0,96.23172,00497df1a07e0cfbbff7bfbc472fd204376c0678,a5a7076a84687b8a84aad951cad8cae293182990
scene_1_1_true_gain2_no_backtrack_balanced_02519,,,,8,14.102817,4.413384,7.127104,2.71372,2.71372,,0.326511,0.437203,34.487059,30.822035,27.054957,1.139238,0,0.0,0.0,0,3.973427,,,135.0,45.0,66.349484,66553667bbc45b25c9d7d528a0b9aeb914247520,0bdc0d085ec313412173f28fade25697c64a6e22
scene_1_1_true_gain2_no_backtrack_balanced_02520,,,,9,15.184167,4.656727,7.127104,2.470377,2.470377,,0.138151,0.449242,38.157918,33.405168,31.364747,1.065055,0,0.0,0.0,0,2.613462,,,195.0,45.0,96.23172,877c1668a3947c6b6d82ed1cdfa8397d02af855d,857c3ac52af22938669d183e71d3027546e704d1
scene_1_1_true_gain2_no_backtrack_balanced_02521,,,,9,16.597012,4.019957,7.127104,3.107148,3.107148,,0.286194,0.449242,40.554376,34.473426,31.262541,1.102707,1,0.02997,0.02997,0,5.323754,,,225.0,45.0,97.055393,721495bae52c47826b1dc52cf87714f737880efa,052c58d22e82614ea50861b28a6c4a3cd0b1593f
scene_1_1_true_gain2_no_backtrack_balanced_02522,,,,9,17.634397,4.796406,7.127104,2.330698,2.330698,,0.139102,0.381795,41.34137,38.795673,36.229417,1.070833,0,0.0,0.0,0,2.593146,,,135.0,0.0,24.076358,950dc1680c3c26c2ae4f4925b11305a9b96b7e0d,2d69832aad6290b58a55a724ef7c6002ef2fe6a9
