trajectory_id,num_keyframes,duration_sec,start_raw_score,end_raw_score,endpoint_node_id,endpoint_dataset_id,endpoint_sample_index,endpoint_point_index,path_xyz_length,net_xyz_distance,max_xyz_step,mean_xyz_step,total_yaw_change,max_yaw_step,total_pitch_change,max_pitch_step,max_abs_score_step,physical_path_signature
scene_1_1_traj_00055,80,15.8,7.127104,4.512534,scene_1|scene_1.1_y03_medium_dense_y03_3p13|6637|92,scene_1.1_y03_medium_dense_y03_3p13,6637,92,47.174665,47.174665,0.597149,0.597148,135.0,1.708861,45.0,0.569621,0.10253,3577adcd9886fecc0798a1a7a6dcf972f463d1e1
scene_1_1_traj_00056,80,15.8,7.127104,4.054704,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7093|8,scene_1.1_y04_medium_dense_y04_4p39,7093,8,46.621199,46.621199,0.590143,0.590142,135.0,1.708861,45.0,0.569621,0.120484,3be3995ecabef31c9a78d3edbb08b45336c59f42
scene_1_1_traj_00057,80,15.8,7.127104,3.102297,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2021|92,scene_1.1_y01_medium_dense_y01_0p60,2021,92,47.174397,47.174397,0.597145,0.597144,105.0,1.329114,45.0,0.569621,0.157833,02e8b9381312ffdfccbc7901f1ad205c56591dc9
scene_1_1_traj_00058,80,15.8,7.127104,4.591192,scene_1|scene_1.1_y02_medium_dense_y02_1p86|4325|92,scene_1.1_y02_medium_dense_y02_1p86,4325,92,47.157567,47.157567,0.596932,0.596931,105.0,1.329114,45.0,0.569621,0.099446,736362dc3e5704ac12dc34e459100813eb719ac0
scene_1_1_traj_00059,80,15.8,7.127104,4.855057,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8025|50,scene_1.1_y04_medium_dense_y04_4p39,8025,50,46.772977,46.772977,0.592064,0.592063,15.0,0.189874,45.0,0.569621,0.089098,aaef97a19b31f7d5d44e06a02794f428b6a920b4
scene_1_1_traj_00060,80,15.8,7.127104,3.920862,scene_1|scene_1.1_y02_medium_dense_y02_1p86|4322|92,scene_1.1_y02_medium_dense_y02_1p86,4322,92,47.157567,47.157567,0.596932,0.596931,75.0,0.949368,45.0,0.569621,0.125733,eba4bc3ce7b0e0da9836457f98c505eedb4affeb
scene_1_1_traj_00061,80,15.8,7.127104,4.089296,scene_1|scene_1.1_y01_medium_dense_y01_0p60|1090|50,scene_1.1_y01_medium_dense_y01_0p60,1090,50,46.721495,46.721495,0.591412,0.591411,45.0,0.569621,45.0,0.569621,0.119128,32940ee4b16d162075cdff3050ed591a67dacf3f
scene_1_1_traj_00062,80,15.8,7.127104,4.093799,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8943|92,scene_1.1_y04_medium_dense_y04_4p39,8943,92,47.225386,47.225386,0.597791,0.59779,15.0,0.189874,45.0,0.569621,0.118951,8f7ed9df406305554be76d9f249583258149dfd6
scene_1_1_traj_00063,80,15.8,7.127104,4.112456,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7100|8,scene_1.1_y04_medium_dense_y04_4p39,7100,8,46.621199,46.621199,0.590143,0.590142,75.0,0.949368,45.0,0.569621,0.118219,5916ea6201ec0baf94f89a1144ca7085c708c9be
scene_1_1_traj_00064,80,15.8,7.127104,5.519058,scene_1|scene_1.1_y01_medium_dense_y01_0p60|158|8,scene_1.1_y01_medium_dense_y01_0p60,158,8,46.569549,46.569549,0.589489,0.589488,0.0,0.0,0.0,0.0,0.063059,89fd9ec3de783f944ade91062c1a97bda0b6cc3e
scene_1_1_traj_00065,80,15.8,7.127104,3.32103,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7150|10,scene_1.1_y04_medium_dense_y04_4p39,7150,10,36.295784,36.295784,0.459441,0.45944,135.0,1.708861,90.0,1.139241,0.149255,ece4eb0dd91df1accf2fba49a7e6326777e1a191
scene_1_1_traj_00066,80,15.8,7.127104,5.321067,scene_1|scene_1.1_y01_medium_dense_y01_0p60|183|9,scene_1.1_y01_medium_dense_y01_0p60,183,9,41.399179,41.399179,0.524041,0.52404,135.0,1.708861,0.0,0.0,0.070824,42f0e1cc1736dd77932d03de4cc62d798699ba04
scene_1_1_traj_00067,80,15.8,7.127104,3.924641,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8941|92,scene_1.1_y04_medium_dense_y04_4p39,8941,92,47.225386,47.225386,0.597791,0.59779,135.0,1.708861,45.0,0.569621,0.125585,c049e9c4c38953ffb2c9f23e2a92a133bd0b2151
scene_1_1_traj_00068,80,15.8,7.127104,3.853755,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2484|8,scene_1.1_y02_medium_dense_y02_1p86,2484,8,46.5525,46.5525,0.589273,0.589272,165.0,2.088608,45.0,0.569621,0.128364,bcfe167eb710f034997dafd97c0d7bca6ba5313c
scene_1_1_traj_00069,80,15.8,7.127104,5.2532,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8950|92,scene_1.1_y04_medium_dense_y04_4p39,8950,92,47.225386,47.225386,0.597791,0.59779,45.0,0.569621,45.0,0.569621,0.073485,7356d4e92297e0265723d63091187507c26b42e2
scene_1_1_traj_00070,80,15.8,7.127104,3.594843,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4785|8,scene_1.1_y03_medium_dense_y03_3p13,4785,8,46.56982,46.56982,0.589492,0.589491,15.0,0.189874,45.0,0.569621,0.138518,6c0e16d24de18af137e49649fca35a3a54bdd170
scene_1_1_traj_00071,80,15.8,7.127104,4.40643,scene_1|scene_1.1_y01_medium_dense_y01_0p60|168|8,scene_1.1_y01_medium_dense_y01_0p60,168,8,46.569549,46.569549,0.589489,0.589488,165.0,2.088608,45.0,0.569621,0.106691,319e39ea89e1931413554f5cda1a20045662bd19
